"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC35G5",8.00946479987251,0.239633581694654,0.689251028838626,0.347672432347953,0.728086202362223,0.780047213377428
"CAGE1",2.96769456853779,-0.391020181328193,1.12505681019146,-0.347555943651991,0.728173697661811,0.780105310511322
"C8G",46.6276424203854,0.0973119389949834,0.280236967698752,0.347248758056757,0.728404443435314,0.780316862082082
"RP11-560J1.2",38.7424891853645,-0.107091462541175,0.308512338230687,-0.347122138308447,0.728499562390334,0.780383108199678
"PHBP3",9.85276948797588,-0.2133726052857,0.615296790048483,-0.346779974699506,0.728756622548675,0.780622814953354
"PHC3",3207.1983233455,0.0167948386060605,0.0484654066662976,0.346532501454061,0.728942562884731,0.780786321810892
"SLX1A",2.00738458080084,-0.507880474667803,1.46587531707754,-0.346469081477098,0.728990216388266,0.780801698446464
"RP11-807C20.2",3.05651553510806,0.371496495513839,1.07239358191544,0.346418051896856,0.729028560560135,0.780807103159523
"ISCA2P1",2.13643297361889,0.475756874035288,1.37398336086412,0.346261015661846,0.729146563517324,0.780897819955137
"TIMM23B",141.846639786339,-0.0572344732011326,0.165522933010766,-0.345779718617057,0.729508268251608,0.78124951508184
"RPS26P15",13.9022281897924,0.178129405544786,0.515606760488283,0.345475310246314,0.72973706855359,0.781458853747689
"TNS4",3.47013493996788,0.366554193195248,1.06123868432745,0.34540221592803,0.7297920115004,0.781482001903045
"RP11-157J24.1",1.83704774634145,-0.486049574407518,1.40822773029648,-0.345149839014453,0.729981726802103,0.78164945941744
"AC008746.10",4.10156662828035,0.349676054647439,1.01331799480746,0.345080277306118,0.730034020229597,0.781669759833964
"AP000265.1",4.07486432903736,-0.325723679747591,0.944157217004184,-0.344988815296158,0.730102779249212,0.781707687804884
"SEPT14P12",6.79407687224084,0.252395101880658,0.733166113172755,0.344253638221801,0.730655547103599,0.782263808055533
"RP11-175B9.3",159.018493310044,-0.0624695162882015,0.181520897672271,-0.344145038335959,0.730737213483545,0.782315523854068
"MCMDC2",1.86710782998556,-0.51520419568589,1.49763076406798,-0.344012828827348,0.730836638259853,0.782386245916512
"RP11-117D22.2",38.8358650983565,-0.105934581292121,0.308370969780664,-0.343529682341596,0.731200014652533,0.782739518082047
"AS3MT",1.81704693475125,0.520194481976522,1.51504699160067,0.343352044431921,0.731333631999606,0.78284681533638
"CYP17A1-AS1",1.71479804520866,0.494922861194404,1.44231217747097,0.343145450010848,0.731489040377355,0.782977427662784
"RNASEH1P2",3.86056845782181,-0.344629646586461,1.00453052180356,-0.343075336295112,0.731541785152112,0.782998143145512
"ZMYND10",189.539282349756,0.0490997677634604,0.143135495651034,0.343029990849833,0.731575898059176,0.782998915221581
"UFC1",5964.96382732848,-0.0130196145700985,0.0379801019159267,-0.342800938210196,0.731748220087164,0.783147604419165
"ITGA4",9770.1353259412,0.0125992921660499,0.036787931946362,0.342484382770417,0.731986394930231,0.78336675526991
"ABCF3",3831.76331916875,-0.013832050602641,0.0404146903800273,-0.342253038995858,0.732160473245219,0.783517293589227
"AC005363.11",3.28536220589952,0.393345602999059,1.1505981127519,0.341861853100289,0.732454858669809,0.783760791318261
"RP11-247C2.1",1.76832282148386,-0.498679138206352,1.45862615073022,-0.34188276273307,0.732439122210623,0.783760791318261
